name,type,token,location,make,model,plant,building,area,templow,temphigh,humhigh,humlow,timeout
GCW/MN/054-I13-01,RHT Sensors,IOTGW03_116,Sample Receipt & Sample Storage Room,Global,CR131,Gagillapur,CWH Block,NEW QC,1,5,1,5,
GCW/MN/053-I14-00,RHT Sensors,IOTGW03_117,HPLC Room,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,
GCW/MN/053-I13-00,RHT Sensors,IOTGW03_118,Sample Preparation Room,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,
GCW/MN/054-I16-00,RHT Sensors,IOTGW03_119,Working standard & reference Standard storage Room (or) stability Room,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,
GCW/MN/054-I14-00,RHT Sensors,IOTGW03_120,LCMS Room-I,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,
GCW/MN/054-I15-00,RHT Sensors,IOTGW03_121,LCMS Room-II,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,
GCW/MN/055-I13-00,RHT Sensors,IOTGW03_122,Dissolution & UV Room,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,
GCW/MN/055-I16-00,RHT Sensors,IOTGW03_123,Wet Lab,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,
GCW/MN/056-I10-00,RHT Sensors,IOTGW03_124,KF & Auto titrator Room,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,	
GCW/MN/055-I14-00,RHT Sensors,IOTGW03_125,Malvern/AAS Instrument Room,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,
GCW/MN/055-I15-00,RHT Sensors,IOTGW03_126,GC/GCMS Room,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,	
GCW/MN/055-I17-00,RHT Sensors,IOTGW03_127,Sieve Analyzer & BD Apparatus Room,Styrax,CPS1052CT,Gagillapur,CWH Block,NEW QC,1,5,1,5,	
GIL/III/TIC/180-00,RHT Sensors,IOTGW03_128,Rack No:W1(C.S),Global,CR131,Gagillapur,CWH Block,Sample Storage Room,1,5,1,5,
GIL/III/TIC/179-00,RHT Sensors,IOTGW03_129,Rack No:U35(H.S),Global,CR131,Gagillapur,CWH Block,Sample Storage Room,1,5,1,5,	
GCW/MN/068-I12-00,RHT Sensors,IOTGW03_150,Change parts Room,Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-4,1,5,1,5,
GCW/MN/069-I11-00,RHT Sensors,IOTGW03_151,Secondary Change Room Blister Packing-VI,Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-4,1,5,1,5,
GCW/MN/068-I11-00,RHT Sensors,IOTGW03_152,Hold Area,Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-4,1,5,1,5,
GCW/MN/065-I16-00,RHT Sensors,IOTGW03_153,Uhlmann(Primary),Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-4,1,5,1,5,
GCW/MN/066-I17-00,RHT Sensors,IOTGW03_154,CVC Line(Primary),Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-4,1,5,1,5, 
GCW/MN/066-I18-00,RHT Sensors,IOTGW03_155,Unscrambler Area,Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-4,1,5,1,5,
GCW/MN/067-I11-00,RHT Sensors,IOTGW03_156,WIP Area,Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-4,1,5,1,5,
GCW/MN/048-I11-00,RHT Sensors,IOTGW03_157,PW/WIP Storage,Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-3,1,5,1,5,
GCW/MN/047-I11-00,RHT Sensors,IOTGW03_158,Secondary  Packing,Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-3,1,5,1,5,
GCW/MN/046-I17-00,RHT Sensors,IOTGW03_159,Bottle Packing-IV(Primary),Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-3,1,5,1,5,
GCW/MN/046-I18-00,RHT Sensors,IOTGW03_160,Unscrambler Area,Styrax,CPS1052CT,Gagillapur,CWH Block,CVC-3,1,5,1,5,	
