device_name,device_type,access_token
Sensor 16,Temperature & Humidity,Sensor_16
Sensor 17,Temperature & Humidity,Sensor_17
Sensor 18,Temperature & Humidity,Sensor_18
Sensor 19,Temperature & Humidity,Sensor_19
Sensor 20,Temperature & Humidity,Sensor_20
Sensor 21,Temperature & Humidity,Sensor_21
Sensor 22,Temperature & Humidity,Sensor_22
Sensor 23,Temperature & Humidity,Sensor_23
Sensor 24,Temperature & Humidity,Sensor_24
Sensor 25,Temperature & Humidity,Sensor_25
Sensor 26,Temperature & Humidity,Sensor_26
Sensor 27,Temperature & Humidity,Sensor_27
Sensor 28,Temperature & Humidity,Sensor_28
Sensor 29,Temperature & Humidity,Sensor_29
Sensor 30,Temperature & Humidity,Sensor_30
